NCBI_Genome_RefSeq_ID	Species Name
NC_014248	'Nostoc azollae' 0708
NC_009925	Acaryochloris marina MBIC11017
NC_013209	Acetobacter pasteurianus IFO 3283-01
NC_016894	Acetobacterium woodii DSM 1030
NC_014378	Acetohalobium arabaticum DSM 5501
NC_010163	Acholeplasma laidlawii PG-8A
NC_014640	Achromobacter xylosoxidans A8
NC_023061	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061
NC_021285	Achromobacter xylosoxidans NH44784-1996
NC_013740	Acidaminococcus fermentans DSM 20731
NC_016077	Acidaminococcus intestini RyC-MR95
NC_015518	Acidianus hospitalis W1
NC_014374	Acidilobus saccharovorans 345-15
NC_013124	Acidimicrobium ferrooxidans DSM 10331
NC_009484	Acidiphilium cryptum JF-5
NC_015186	Acidiphilium multivorum AIU301
NC_015850	Acidithiobacillus caldus SM-1
NC_015942	Acidithiobacillus ferrivorans SS3
NC_011206	Acidithiobacillus ferrooxidans ATCC 53993
NC_012483	Acidobacterium capsulatum ATCC 51196
NC_008578	Acidothermus cellulolyticus 11B
NC_015138	Acidovorax avenae subsp. avenae ATCC 19860
NC_008752	Acidovorax citrulli AAC00-1
NC_011992	Acidovorax ebreus TPSY
NC_008782	Acidovorax sp. JS42
NC_013926	Aciduliprofundum boonei T469
NC_017162	Acinetobacter baumannii 1656-2
NC_011586	Acinetobacter baumannii AB0057
NC_011595	Acinetobacter baumannii AB307-0294
NC_010611	Acinetobacter baumannii ACICU
NC_009085	Acinetobacter baumannii ATCC 17978
NC_010410	Acinetobacter baumannii AYE
NC_021726	Acinetobacter baumannii BJAB07104
NC_021733	Acinetobacter baumannii BJAB0715
NC_021729	Acinetobacter baumannii BJAB0868
NC_020547	Acinetobacter baumannii D1279779
NC_017847	Acinetobacter baumannii MDR-TJ
NC_017171	Acinetobacter baumannii MDR-ZJ06
NC_017387	Acinetobacter baumannii TCDC-AB0715
NC_018706	Acinetobacter baumannii TYTH-1
NC_023028	Acinetobacter baumannii ZW85-1
NC_016603	Acinetobacter calcoaceticus PHEA-2
NC_014259	Acinetobacter oleivorans DR1
NC_005966	Acinetobacter sp. ADP1
NC_010278	Actinobacillus pleuropneumoniae serovar 3 str. JL03
NC_009053	Actinobacillus pleuropneumoniae serovar 5b str. L20
NC_010939	Actinobacillus pleuropneumoniae serovar 7 str. AP76
NC_009655	Actinobacillus succinogenes 130Z
NC_018690	Actinobacillus suis H91-0380
NC_022657	Actinoplanes friuliensis DSM 7358
NC_017093	Actinoplanes missouriensis 431
NC_021191	Actinoplanes sp. N902-109
NC_017803	Actinoplanes sp. SE50/110
NC_013093	Actinosynnema mirum DSM 43827
NC_022567	Adlercreutzia equolifaciens DSM 19450
NC_017964	Advenella kashmirensis WT001
NC_018013	Aequorivita sublithincola DSM 14238
NC_015278	Aerococcus urinae ACS-120-V-Col10a
NC_008570	Aeromonas hydrophila subsp. hydrophila ATCC 7966
NC_009348	Aeromonas salmonicida subsp. salmonicida A449
NC_015424	Aeromonas veronii B565
NC_022521	Aeropyrum camini SY1 = JCM 12091
NC_000854	Aeropyrum pernix K1
NC_016513	Aggregatibacter actinomycetemcomitans ANH9381
NC_013416	Aggregatibacter actinomycetemcomitans D11S-1
NC_017846	Aggregatibacter actinomycetemcomitans D7S-1
NC_012913	Aggregatibacter aphrophilus NJ8700
NC_003063	Agrobacterium fabrum str. C58
NC_011983	Agrobacterium radiobacter K84
NC_015508	Agrobacterium sp. H13-3
NC_010655	Akkermansia muciniphila ATCC BAA-835
NC_007908	Albidiferax ferrireducens T118
NC_008260	Alcanivorax borkumensis SK2
NC_018691	Alcanivorax dieselolei B5
NC_014910	Alicycliphilus denitrificans BC
NC_015422	Alicycliphilus denitrificans K601
NC_013205	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446
NC_017167	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1
NC_018011	Alistipes finegoldii DSM 17242
NC_021030	Alistipes shahii WAL 8301
NC_008340	Alkalilimnicola ehrlichii MLHE-1
NC_009633	Alkaliphilus metalliredigens QYMF
NC_009922	Alkaliphilus oremlandii OhILAs
NC_013851	Allochromatium vinosum DSM 180
NC_018632	Alteromonas macleodii ATCC 27126
NC_019393	Alteromonas macleodii AltDE1
NC_023045	Alteromonas macleodii str. 'Aegean Sea MED64'
NC_018692	Alteromonas macleodii str. 'Black Sea 11'
NC_011138	Alteromonas macleodii str. 'Deep ecotype'
NC_018678	Alteromonas macleodii str. 'English Channel 673'
NC_021710	Alteromonas macleodii str. 'Ionian Sea U4'
NC_021717	Alteromonas macleodii str. 'Ionian Sea U7'
NC_021712	Alteromonas macleodii str. 'Ionian Sea U8'
NC_021714	Alteromonas macleodii str. 'Ionian Sea UM4b'
NC_021713	Alteromonas macleodii str. 'Ionian Sea UM7'
NC_015554	Alteromonas sp. SN2
NC_014011	Aminobacterium colombiense DSM 12261
NC_013385	Ammonifex degensii KC4
NC_018704	Amphibacillus xylanus NBRC 15112
NC_014318	Amycolatopsis mediterranei U32
NC_021252	Amycolatopsis orientalis HCCB10007
NC_015564	Amycolicicoccus subflavus DQS3-9A1
NC_019771	Anabaena cylindrica PCC 7122
NC_018024	Anaerobaculum mobile DSM 13181
NC_013171	Anaerococcus prevotii DSM 20548
NC_014960	Anaerolinea thermophila UNI-1
NC_011891	Anaeromyxobacter dehalogenans 2CP-1
NC_007760	Anaeromyxobacter dehalogenans 2CP-C
NC_009675	Anaeromyxobacter sp. Fw109-5
NC_011145	Anaeromyxobacter sp. K
NC_013532	Anaplasma centrale str. Israel
NC_004842	Anaplasma marginale str. St. Maries
NC_007797	Anaplasma phagocytophilum str. HZ
NC_011567	Anoxybacillus flavithermus WK1
NC_000918	Aquifex aeolicus VF5
NC_014218	Arcanobacterium haemolyticum DSM 20595
NC_000917	Archaeoglobus fulgidus DSM 4304
NC_013741	Archaeoglobus profundus DSM 5631
NC_021169	Archaeoglobus sulfaticallidus PM70-1
NC_015320	Archaeoglobus veneficus SNP6
NC_009850	Arcobacter butzleri RM4018
NC_014166	Arcobacter nitrofigilis DSM 7299
NC_017192	Arcobacter sp. L
NC_006513	Aromatoleum aromaticum EbN1
NC_014550	Arthrobacter arilaitensis Re117
NC_008711	Arthrobacter aurescens TC1
NC_011886	Arthrobacter chlorophenolicus A6
NC_015145	Arthrobacter phenanthrenivorans Sphe3
NC_008541	Arthrobacter sp. FB24
NC_016640	Arthrospira platensis NIES-39
NC_007716	Aster yellows witches'-broom phytoplasma AYWB
NC_013203	Atopobium parvulum DSM 20469
NC_008702	Azoarcus sp. BH72
NC_009937	Azorhizobium caulinodans ORS 571
NC_016617	Azospirillum brasilense Sp245
NC_016622	Azospirillum lipoferum 4B
NC_016585	Azospirillum lipoferum 4B
NC_016623	Azospirillum lipoferum 4B
NC_013854	Azospirillum sp. B510
NC_013857	Azospirillum sp. B510
NC_021149	Azotobacter vinelandii CA
NC_021150	Azotobacter vinelandii CA6
NC_012560	Azotobacter vinelandii DJ
NC_009725	Bacillus amyloliquefaciens subsp. plantarum str. FZB42
NC_003997	Bacillus anthracis str. Ames
NC_005945	Bacillus anthracis str. Sterne
NC_014639	Bacillus atrophaeus 1942
NC_014829	Bacillus cellulosilyticus DSM 2522
NC_011658	Bacillus cereus AH187
NC_003909	Bacillus cereus ATCC 10987
NC_004722	Bacillus cereus ATCC 14579
NC_018491	Bacillus cereus FRI-35
NC_016771	Bacillus cereus NC7401
NC_011969	Bacillus cereus Q1
NC_006582	Bacillus clausii KSM-K16
NC_015634	Bacillus coagulans 2-6
NC_009674	Bacillus cytotoxicus NVH 391-98
NC_002570	Bacillus halodurans C-125
NC_022524	Bacillus infantis NRRL B-14911
NC_006270	Bacillus licheniformis DSM 13 = ATCC 14580
NC_006322	Bacillus licheniformis DSM 13 = ATCC 14580
NC_014103	Bacillus megaterium DSM 319
NC_014019	Bacillus megaterium QM B1551
NC_017138	Bacillus megaterium WSH-002
NC_016070	Bacillus megaterium WSH-002
NC_013791	Bacillus pseudofirmus OF4
NC_009848	Bacillus pumilus SAFR-032
NC_014219	Bacillus selenitireducens MLS10
NC_021171	Bacillus sp. 1NLA3E
NC_000964	Bacillus subtilis subsp. subtilis str. 168
NC_017200	Bacillus thuringiensis serovar finitimus YBT-020
NC_005957	Bacillus thuringiensis serovar konkukian str. 97-27
NC_022781	Bacillus toyonensis BCT-7112
NC_010184	Bacillus weihenstephanensis KBAB4
NC_016620	Bacteriovorax marinus SJ
NC_006347	Bacteroides fragilis YCH46
NC_014933	Bacteroides helcogenes P 36-108
NC_015164	Bacteroides salanitronis DSM 18170
NC_004663	Bacteroides thetaiotaomicron VPI-5482
NC_009614	Bacteroides vulgatus ATCC 8482
NC_021017	Bacteroides xylanisolvens XB1A
NC_020300	Bartonella australis Aust/NH1
NC_008783	Bartonella bacilliformis KC583
NC_014932	Bartonella clarridgeiae 73
NC_012846	Bartonella grahamii as4aup
NC_005956	Bartonella henselae str. Houston-1
NC_005955	Bartonella quintana str. Toulouse
NC_010161	Bartonella tribocorum CIP 105476
NC_020301	Bartonella vinsonii subsp. berkhoffii str. Winnie
NC_007984	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)
NC_019567	Bdellovibrio bacteriovorus str. Tiberius
NC_020813	Bdellovibrio exovorus JSS
NC_010581	Beijerinckia indica subsp. indica ATCC 9039
NC_018010	Belliella baltica DSM 15883
NC_012669	Beutenbergia cavernae DSM 12333
NC_020515	Bibersteinia trehalosi USDA-ARS-USMARC-192
NC_008618	Bifidobacterium adolescentis ATCC 15703
NC_011835	Bifidobacterium animalis subsp. lactis AD011
NC_014638	Bifidobacterium bifidum PRL2010
NC_017218	Bifidobacterium breve ACS-071-V-Sch8b
NC_020517	Bifidobacterium breve UCC2003
NC_013714	Bifidobacterium dentium Bd1
NC_010816	Bifidobacterium longum DJO10A
NC_004307	Bifidobacterium longum NCC2705
NC_017219	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM
NC_011593	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM
NC_014169	Bifidobacterium longum subsp. longum JDM301
NC_020546	Bifidobacterium thermophilum RBL67
NC_016943	Blastococcus saxobsidens
NC_013454	Blattabacterium sp. (Blattella germanica) str. Bge
NC_016621	Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu
NC_016146	Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR
NC_013418	Blattabacterium sp. (Periplaneta americana) str. BPLAN
NC_010645	Bordetella avium 197N
NC_019382	Bordetella bronchiseptica 253
NC_018829	Bordetella bronchiseptica MO149
NC_002927	Bordetella bronchiseptica RB50
NC_002928	Bordetella parapertussis 12822
NC_018518	Bordetella parapertussis 18323
NC_018828	Bordetella parapertussis Bpp5
NC_017223	Bordetella pertussis CS
NC_002929	Bordetella pertussis Tohama I
NC_010170	Bordetella petrii DSM 12804
NC_018887	Borrelia afzelii HLJ01
NC_015921	Borrelia bissettii DN127
NC_001318	Borrelia burgdorferi B31
NC_017808	Borrelia crocidurae str. Achema
NC_011229	Borrelia duttonii Ly
NC_017717	Borrelia garinii BgVir
NC_018747	Borrelia garinii NMJW1
NC_006156	Borrelia garinii PBi
NC_010673	Borrelia hermsii HS1
NC_022079	Borrelia miyamotoi LB-2001
NC_011244	Borrelia recurrentis A1
NC_008710	Borrelia turicatae 91E135
NC_013172	Brachybacterium faecium DSM 4810
NC_012225	Brachyspira hyodysenteriae WA1
NC_017243	Brachyspira intermedia PWS/A
NC_014150	Brachyspira murdochii DSM 12563
NC_014330	Brachyspira pilosicoli 95/1000
NC_004463	Bradyrhizobium diazoefficiens USDA 110
NC_017249	Bradyrhizobium japonicum USDA 6
NC_020453	Bradyrhizobium oligotrophicum S58
NC_009485	Bradyrhizobium sp. BTAi1
NC_009445	Bradyrhizobium sp. ORS 278
NC_012491	Brevibacillus brevis NBRC 100599
NC_014375	Brevundimonas subvibrioides ATCC 15264
NC_002528	Buchnera aphidicola str. APS (Acyrthosiphon pisum)
NC_008390	Burkholderia ambifaria AMMD
NC_008391	Burkholderia ambifaria AMMD
NC_010551	Burkholderia ambifaria MC40-6
NC_008060	Burkholderia cenocepacia AU 1054
NC_008061	Burkholderia cenocepacia AU 1054
NC_008542	Burkholderia cenocepacia HI2424
NC_011000	Burkholderia cenocepacia J2315
NC_011001	Burkholderia cenocepacia J2315
NC_010508	Burkholderia cenocepacia MC0-3
NC_010515	Burkholderia cenocepacia MC0-3
NC_018514	Burkholderia cepacia GG4
NC_018513	Burkholderia cepacia GG4
NC_015376	Burkholderia gladioli BSR3
NC_012724	Burkholderia glumae BGR1
NC_012721	Burkholderia glumae BGR1
NC_007510	Burkholderia lata
NC_007511	Burkholderia lata
NC_006349	Burkholderia mallei ATCC 23344
NC_008835	Burkholderia mallei NCTC 10229
NC_009079	Burkholderia mallei NCTC 10247
NC_010086	Burkholderia multivorans ATCC 17616
NC_010084	Burkholderia multivorans ATCC 17616
NC_010804	Burkholderia multivorans ATCC 17616
NC_010805	Burkholderia multivorans ATCC 17616
NC_018672	Burkholderia phenoliruptrix BR3459a
NC_010623	Burkholderia phymatum STM815
NC_010622	Burkholderia phymatum STM815
NC_010681	Burkholderia phytofirmans PsJN
NC_010676	Burkholderia phytofirmans PsJN
NC_017832	Burkholderia pseudomallei 1026b
NC_009078	Burkholderia pseudomallei 1106a
NC_007435	Burkholderia pseudomallei 1710b
NC_009075	Burkholderia pseudomallei 668
NC_018529	Burkholderia pseudomallei BPC006
NC_006351	Burkholderia pseudomallei K96243
NC_021877	Burkholderia pseudomallei MSHR305
NC_022658	Burkholderia pseudomallei NCTC 13179
NC_014722	Burkholderia rhizoxinica HKI 454
NC_015137	Burkholderia sp. CCGE1001
NC_014118	Burkholderia sp. CCGE1002
NC_014117	Burkholderia sp. CCGE1002
NC_014540	Burkholderia sp. CCGE1003
NC_017922	Burkholderia sp. KJ006
NC_017920	Burkholderia sp. KJ006
NC_017921	Burkholderia sp. KJ006
NC_021294	Burkholderia sp. RPE64
NC_016625	Burkholderia sp. YI23
NC_007650	Burkholderia thailandensis E264
NC_021174	Burkholderia thailandensis MSMB121
NC_009254	Burkholderia vietnamiensis G4
NC_009255	Burkholderia vietnamiensis G4
NC_009256	Burkholderia vietnamiensis G4
NC_007952	Burkholderia xenovorans LB400
NC_007951	Burkholderia xenovorans LB400
NC_014387	Butyrivibrio proteoclasticus B316
NC_012034	Caldicellulosiruptor bescii DSM 6725
NC_014652	Caldicellulosiruptor hydrothermalis 108
NC_014721	Caldicellulosiruptor kristjanssonii I77R1B
NC_014720	Caldicellulosiruptor kronotskyensis 2002
NC_015949	Caldicellulosiruptor lactoaceticus 6A
NC_014392	Caldicellulosiruptor obsidiansis OB47
NC_014657	Caldicellulosiruptor owensensis OL
NC_009437	Caldicellulosiruptor saccharolyticus DSM 8903
NC_017079	Caldilinea aerophila DSM 14535 = NBRC 104270
NC_017096	Caldisericum exile AZM16c01
NC_019791	Caldisphaera lagunensis DSM 15908
NC_014758	Calditerrivibrio nitroreducens DSM 19672
NC_009954	Caldivirga maquilingensis IC-167
NC_019751	Calothrix sp. PCC 6303
NC_019682	Calothrix sp. PCC 7507
NC_009802	Campylobacter concisus 13826
NC_009715	Campylobacter curvus 525.92
NC_008599	Campylobacter fetus subsp. fetus 82-40
NC_009714	Campylobacter hominis ATCC BAA-381
NC_002163	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
NC_012039	Campylobacter lari RM2100
NC_022759	Campylobacter sp. 03-427
NC_013194	Candidatus Accumulibacter phosphatis clade IIA str. UW-1
NC_010830	Candidatus Amoebophilus asiaticus 5a2
NC_015913	Candidatus Arthromitus sp. SFB-mouse-Japan
NC_017294	Candidatus Arthromitus sp. SFB-mouse-Yit
NC_016012	Candidatus Arthromitus sp. SFB-rat-Yit
NC_013771	Candidatus Atelocyanobacterium thalassa
NC_011565	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2
NC_020075	Candidatus Blochmannia chromaiodes str. 640
NC_005061	Candidatus Blochmannia floridanus
NC_007292	Candidatus Blochmannia pennsylvanicus str. BPEN
