#dist_cut	num_seqs	num_clusters	num_clusters(recip_simpson_index)	avg_intra_clust_phylo_dist_phylum(norm_shannon_index)	avg_inter_clust_phylo_dist_phylum(norm_shannon_index)	avg_intra_clust_phylo_dist_order(norm_shannon_index)	avg_inter_clust_phylo_dist_order(norm_shannon_index)	avg_silhouette_width	avg_inter_clust_dist	avg_intra_clust_dist	dunn_index
0	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.01	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.02	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.03	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.04	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.05	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.06	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.07	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.08	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.09	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.1	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.11	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.12	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.13	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.14	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.15	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.16	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.17	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.18	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.19	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
0.2	4	4	4	0	0	0	0.666666666666667	1	1.026171795	0	0.69694576
