#dist_cut	num_seqs	num_clusters	num_clusters(recip_simpson_index)	avg_intra_clust_phylo_dist_phylum(norm_shannon_index)	avg_inter_clust_phylo_dist_phylum(norm_shannon_index)	avg_intra_clust_phylo_dist_order(norm_shannon_index)	avg_inter_clust_phylo_dist_order(norm_shannon_index)	avg_silhouette_width	avg_inter_clust_dist	avg_intra_clust_dist	dunn_index
0	23	23	23	0	0	0	0.331187418012537	1	1.69079535596838	0	0.09783875
0.01	23	23	23	0	0	0	0.331187418012537	1	1.69079535596838	0	0.09783875
0.02	23	23	23	0	0	0	0.331187418012537	1	1.69079535596838	0	0.09783875
0.03	23	23	23	0	0	0	0.331187418012537	1	1.69079535596838	0	0.09783875
0.04	23	23	23	0	0	0	0.331187418012537	1	1.69079535596838	0	0.09783875
0.05	23	23	23	0	0	0	0.331187418012537	1	1.69079535596838	0	0.09783875
0.06	23	23	23	0	0	0	0.331187418012537	1	1.69079535596838	0	0.09783875
0.07	23	23	23	0	0	0	0.331187418012537	1	1.69079535596838	0	0.09783875
0.08	23	23	23	0	0	0	0.331187418012537	1	1.69079535596838	0	0.09783875
0.09	23	23	23	0	0	0	0.331187418012537	1	1.69079535596838	0	0.09783875
0.1	23	22	21.16	0	0	0	0.344479516240139	0.909090909090909	1.73060305616883	0.00444721590909091	1.09837196407354
0.11	23	20	17.0645161290323	0	0	0	0.373920097745298	0.889142678544462	1.8183107055614	0.0112001853333333	1.05008181714433
0.12	23	20	17.0645161290323	0	0	0	0.373920097745298	0.889142678544462	1.8183107055614	0.0112001853333333	1.05008181714433
0.13	23	18	14.2972972972973	0	0	0	0.408593914325106	0.868208388138331	1.90754283803922	0.0202506781481481	1.06420251710818
0.14	23	16	11.7555555555556	0	0	0	0.450448118344044	0.798412983728142	2.02024728377083	0.0322342413541667	1.22582896315304
0.15	23	15	9.28070175438596	0	0	0	0.474728714127507	0.838024793928913	2.07699097465714	0.0270787978444444	1.76030107693192
0.16	23	15	9.28070175438596	0	0	0	0.474728714127507	0.838024793928913	2.07699097465714	0.0270787978444444	1.76030107693192
0.17	23	15	9.28070175438596	0	0	0	0.474728714127507	0.838024793928913	2.07699097465714	0.0270787978444444	1.76030107693192
0.18	23	15	9.28070175438596	0	0	0	0.474728714127507	0.838024793928913	2.07699097465714	0.0270787978444444	1.76030107693192
0.19	23	15	9.28070175438596	0	0	0	0.474728714127507	0.838024793928913	2.07699097465714	0.0270787978444444	1.76030107693192
0.2	23	15	9.28070175438596	0	0	0	0.474728714127507	0.838024793928913	2.07699097465714	0.0270787978444444	1.76030107693192
0.21	23	15	9.28070175438596	0	0	0	0.474728714127507	0.838024793928913	2.07699097465714	0.0270787978444444	1.76030107693192
0.22	23	15	9.28070175438596	0	0	0	0.474728714127507	0.838024793928913	2.07699097465714	0.0270787978444444	1.76030107693192
0.23	23	15	9.28070175438596	0	0	0	0.474728714127507	0.838024793928913	2.07699097465714	0.0270787978444444	1.76030107693192
0.24	23	15	9.28070175438596	0	0	0	0.474728714127507	0.838024793928913	2.07699097465714	0.0270787978444444	1.76030107693192
0.25	23	15	9.28070175438596	0	0	0	0.474728714127507	0.838024793928913	2.07699097465714	0.0270787978444444	1.76030107693192
0.26	23	14	8.13846153846154	0	0	0	0.501857730159864	0.823147159164872	2.13264801098901	0.0334355182857143	1.34413670808693
0.27	23	13	7.8955223880597	0	0	0	0.53145390947241	0.768909298741812	2.20197649230769	0.0562763266153846	1.24173017483179
0.28	23	13	7.8955223880597	0	0	0	0.53145390947241	0.77872999871015	2.20197649230769	0.0562763266153846	1.24173017483179
0.29	23	13	7.8955223880597	0	0	0	0.53145390947241	0.77872999871015	2.20197649230769	0.0562763266153846	1.24173017483179
0.3	23	13	7.8955223880597	0	0	0	0.53145390947241	0.771058014562025	2.20197649230769	0.0562763266153846	1.24173017483179
0.31	23	13	7.8955223880597	0	0	0	0.53145390947241	0.771058014562025	2.20197649230769	0.0562763266153846	1.24173017483179
0.32	23	13	7.8955223880597	0	0	0	0.53145390947241	0.777034569781827	2.20197649230769	0.0562763266153846	1.24173017483179
0.33	23	12	7.66666666666667	0	0	0	0.564208430805277	0.768682434407146	2.17504653734849	0.0882318271666667	1.35883613444043
0.34	23	12	7.66666666666667	0	0	0	0.564208430805277	0.763972781928431	2.17504653734849	0.0882318271666667	1.35883613444043
0.35	23	12	7.66666666666667	0	0	0	0.564208430805277	0.749313489114198	2.17504653734848	0.0882318271666667	1.35883613444043
0.36	23	12	7.66666666666667	0	0	0	0.564208430805277	0.749313489114198	2.17504653734848	0.0882318271666667	1.35883613444043
0.37	23	12	7.66666666666667	0	0	0	0.564208430805277	0.768682434407146	2.17504653734848	0.0882318271666667	1.35883613444043
0.38	23	12	7.66666666666667	0	0	0	0.564208430805277	0.763972781928431	2.17504653734849	0.0882318271666667	1.35883613444043
0.39	23	12	7.66666666666667	0	0	0	0.564208430805277	0.764205995655988	2.17504653734849	0.0882318271666667	1.35883613444043
0.4	23	12	7.66666666666667	0	0	0	0.564208430805277	0.749313489114198	2.17504653734849	0.0882318271666667	1.35883613444043
0.41	23	12	7.66666666666667	0	0	0	0.564208430805277	0.763972781928431	2.17504653734849	0.0882318271666667	1.35883613444043
0.42	23	11	7.24657534246575	0	0	0	0.598608277436046	0.734145644289895	2.08902635775758	0.103368507212121	1.10546738529938
