#dist_cut	num_seqs	num_clusters	num_clusters(recip_simpson_index)	avg_intra_clust_phylo_dist_phylum(norm_shannon_index)	avg_inter_clust_phylo_dist_phylum(norm_shannon_index)	avg_intra_clust_phylo_dist_order(norm_shannon_index)	avg_inter_clust_phylo_dist_order(norm_shannon_index)	avg_silhouette_width	avg_inter_clust_dist	avg_intra_clust_dist	dunn_index
0	160	160	160	0	0.300540327115228	0	0.244264086511284	1	2.37883249044812	0	0.028145
0.01	160	160	160	0	0.300540327115228	0	0.244264086511284	1	2.37883249044812	0	0.028145
0.02	160	160	160	0	0.300540327115228	0	0.244264086511284	1	2.37883249044812	0	0.028145
0.03	160	159	158.024691358025	0	0.301977807934129	0	0.243970987864367	0.987421383647799	2.3769943372566	0.000177012578616352	1.76106022384082
0.04	160	159	158.024691358025	0	0.301977807934129	0	0.243970987864367	0.987421383647799	2.37699433725659	0.000177012578616352	1.76106022384082
0.05	160	158	156.09756097561	0	0.303427681207409	0	0.244376769596129	0.98722508103094	2.38133989909055	0.000491835696202532	1.03080033830297
0.06	160	155	148.837209302326	0	0.307794609346091	0	0.244787922110055	0.986617119861848	2.38574440916463	0.0013303967311828	1.04508877018928
0.07	160	154	147.126436781609	0	0.309294537569008	0	0.244474835882139	0.986283789057906	2.38185235400163	0.00173453865800866	1.19271366758686
0.08	160	147	133.333333333333	0	0.320035364524796	0	0.2426709486564	0.982861609328805	2.38352418072189	0.0044073446031746	1.0710953412673
0.09	160	143	121.904761904762	0	0.326432052962974	0	0.243483885613806	0.982143371915805	2.39767747407169	0.00550638132867133	1.04954862462673
0.1	160	138	112.280701754386	0	0.334710089305472	0	0.242684702911971	0.981114822666675	2.41596379357514	0.00755938641304348	0.900011408877788
0.11	160	135	102.4	0	0.339971342074313	0	0.2438936699282	0.981245180733594	2.42894353339524	0.00816285782716049	0.988905259664693
0.12	160	133	100.787401574803	0	0.343538546157661	0	0.244678389813351	0.979978590356525	2.4339885592914	0.010066245764411	1.05085257162955
0.13	160	130	98.4615384615385	0	0.34900324529954	0	0.243776167536623	0.975080795508125	2.44808935654861	0.0132178688974359	1.01781431775621
0.14	160	126	94.1176470588235	0	0.346457591721936	0	0.242625761024501	0.973522054286596	2.46389581194138	0.0162358062433862	1.09896219671468
0.15	160	123	90.7801418439716	0	0.352004317014592	0	0.242889077602243	0.967817188078006	2.47487976557999	0.0189447665853659	1.12021574510846
0.16	160	122	88.8888888888889	0	0.353906766890818	0	0.243170176830749	0.969437402638973	2.48061795506537	0.0192989646311475	1.10796905506055
