#dist_cut	num_seqs	num_clusters	num_clusters(recip_simpson_index)	avg_intra_clust_phylo_dist_phylum(norm_shannon_index)	avg_inter_clust_phylo_dist_phylum(norm_shannon_index)	avg_intra_clust_phylo_dist_order(norm_shannon_index)	avg_inter_clust_phylo_dist_order(norm_shannon_index)	avg_silhouette_width	avg_inter_clust_dist	avg_intra_clust_dist	dunn_index
0	5	5	5	0	0	0	0.554071801378514	1	0.91081916	0	0.48620388
0.01	5	5	5	0	0	0	0.554071801378514	1	0.91081916	0	0.48620388
0.02	5	5	5	0	0	0	0.554071801378514	0.8	0.91081916	0	0.48620388
0.03	5	5	5	0	0	0	0.554071801378514	0.6	0.91081916	0	0.48620388
0.04	5	5	5	0	0	0	0.554071801378514	1	0.91081916	0	0.48620388
0.05	5	5	5	0	0	0	0.554071801378514	1	0.91081916	0	0.48620388
0.06	5	5	5	0	0	0	0.554071801378514	0.6	0.91081916	0	0.48620388
0.07	5	5	5	0	0	0	0.554071801378514	1	0.91081916	0	0.48620388
0.08	5	5	5	0	0	0	0.554071801378514	0.8	0.91081916	0	0.48620388
0.09	5	5	5	0	0	0	0.554071801378514	1	0.91081916	0	0.48620388
0.1	5	5	5	0	0	0	0.554071801378514	1	0.91081916	0	0.48620388
0.11	5	5	5	0	0	0	0.554071801378514	0.6	0.91081916	0	0.48620388
0.12	5	5	5	0	0	0	0.554071801378514	0.8	0.91081916	0	0.48620388
0.13	5	5	5	0	0	0	0.554071801378514	1	0.91081916	0	0.48620388
0.14	5	5	5	0	0	0	0.554071801378514	1	0.91081916	0	0.48620388
0.15	5	5	5	0	0	0	0.554071801378514	1	0.91081916	0	0.48620388
0.16	5	5	5	0	0	0	0.554071801378514	1	0.91081916	0	0.48620388
0.17	5	5	5	0	0	0	0.554071801378514	0.8	0.91081916	0	0.48620388
0.18	5	5	5	0	0	0	0.554071801378514	0.8	0.91081916	0	0.48620388
0.19	5	5	5	0	0	0	0.554071801378514	0.8	0.91081916	0	0.48620388
0.2	5	5	5	0	0	0	0.554071801378514	0.8	0.91081916	0	0.48620388
0.21	5	5	5	0	0	0	0.554071801378514	1	0.91081916	0	0.48620388
0.22	5	5	5	0	0	0	0.554071801378514	1	0.91081916	0	0.48620388
0.23	5	5	5	0	0	0	0.554071801378514	0.8	0.91081916	0	0.48620388
0.24	5	5	5	0	0	0	0.554071801378514	1	0.91081916	0	0.48620388
0.25	5	5	5	0	0	0	0.554071801378514	1	0.91081916	0	0.48620388
0.26	5	5	5	0	0	0	0.554071801378514	1	0.91081916	0	0.48620388
0.27	5	5	5	0	0	0	0.554071801378514	0.8	0.91081916	0	0.48620388
0.28	5	5	5	0	0	0	0.554071801378514	1	0.91081916	0	0.48620388
0.29	5	5	5	0	0	0	0.554071801378514	0.6	0.91081916	0	0.48620388
0.3	5	5	5	0	0	0	0.554071801378514	1	0.91081916	0	0.48620388
0.31	5	5	5	0	0	0	0.554071801378514	1	0.91081916	0	0.48620388
0.32	5	5	5	0	0	0	0.554071801378514	0.6	0.91081916	0	0.48620388
