YP_003893546	307352495	NC_014507	Methanoplanus petrolearius DSM 11571| Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; Methanomicrobiaceae; Methanoplanus.	Mpet_0334	340097..341023	"tetratricopeptide repeat-containing protein"
YP_007591366	469819282	NC_020541	Rhodanobacter denitrificans| Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Rhodanobacter.	R2APBS1_3058	3187466..3190273	"putative PEP-CTERM system TPR-repeat lipoprotein"
YP_008314610	525951924	NC_021847	Vibrio parahaemolyticus O1:Kuk str. FDA_R31| Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	M634_13785	2849884..2851335	"hypothetical protein"
NP_617725	20091650	NC_003552	Methanosarcina acetivorans C2A| Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina.	MA2826	complement(3525621..3528986)	"hypothetical protein"
YP_003290272	268316553	NC_013501	Rhodothermus marinus DSM 4252| Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus.	Rmar_0990	1125054..1126286	"hypothetical protein"
YP_001952048	189424871	NC_010814	Geobacter lovleyi SZ| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter.	Glov_1812	complement(1929461..1930681)	"hypothetical protein"
YP_004365348	328948011	NC_015385	Treponema succinifaciens DSM 2489| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	Tresu_1139	1214783..1215391	"hypothetical protein"
YP_007059327	427739783	NC_019678	Rivularia sp. PCC 7116| Bacteria; Cyanobacteria; Nostocales; Rivulariaceae; Rivularia.	Riv7116_6450	8167624..8168307	"cytochrome c biogenesis factor"
YP_007359294	442319273	NC_020126	Myxococcus stipitatus DSM 14675| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus.	MYSTI_02288	2883194..2883916	"hypothetical protein"
YP_005919343	386001044	NC_017527	Methanosaeta harundinacea 6Ac| Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosaetaceae; Methanosaeta.	Mhar_0333	complement(350690..351745)	"Tetratricopeptide TPR_2"
YP_004162574	319902846	NC_014933	Bacteroides helcogenes P 36-108| Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides.	Bache_3060	3625473..3627671	"hypothetical protein"
YP_006015280	386319117	NC_017568	Staphylococcus pseudintermedius ED99| Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	SPSE_1172	1206852..1207526	"TPR domain-containing protein"
YP_824882	116622726	NC_008536	Candidatus Solibacter usitatus Ellin6076| Bacteria; Acidobacteria; Solibacteres; Solibacterales; Solibacteraceae; Candidatus Solibacter.	Acid_3625	complement(4588169..4589812)	"hypothetical protein"
YP_004633540	337741812	NC_015684	Oligotropha carboxidovorans OM5| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Oligotropha.	OCA5_c26040	complement(2757501..2759300)	"TPR domain-containing protein"
YP_004195032	320353693	NC_014972	Desulfobulbus propionicus DSM 2032| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobulbaceae; Desulfobulbus.	Despr_1589	1821833..1823062	"type 12 methyltransferase"
YP_005027630	372488065	NC_016616	Dechlorosoma suillum PS| Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Azospira.	Dsui_1394	complement(1452557..1453534)	"hypothetical protein"
YP_004823939	345302037	NC_015966	Rhodothermus marinus SG0.5JP17-172| Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus.	Rhom172_0153	complement(160435..161832)	"hypothetical protein"
YP_007093560	428209207	NC_019695	Chroococcidiopsis thermalis PCC 7203| Bacteria; Cyanobacteria; Pleurocapsales; Chroococcidiopsis.	Chro_4294	complement(4855499..4856236)	"hypothetical protein"
YP_006255698	387790633	NC_017770	Solitalea canadensis DSM 3403| Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales; Sphingobacteriaceae; Solitalea.	Solca_1438	1724977..1726110	"hypothetical protein"
YP_004149549	319892674	NC_014925	Staphylococcus pseudintermedius HKU10-03| Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	SPSINT_1385	complement(1430478..1431152)	"tetratricopeptide repeat (TPR) family protein"
YP_001512943	158320436	NC_009922	Alkaliphilus oremlandii OhILAs| Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Alkaliphilus.	Clos_1403	1514975..1515913	"hypothetical protein"
NP_798657	28899052	NC_004603	Vibrio parahaemolyticus RIMD 2210633| Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	VP2278	2386654..2388105	"hypothetical protein"
NP_972219	42527121	NC_002967	Treponema denticola ATCC 35405| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	TDE1613	1661765..1662379	"hypothetical protein"
YP_005148826	376262106	NC_016791	Clostridium sp. BNL1100| Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium.	Clo1100_2868	complement(3294192..3295070)	"tetratricopeptide repeat protein"
YP_007169617	428777830	NC_019779	Halothece sp. PCC 7418| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Halothece cluster; Halothece.	PCC7418_3287	3533517..3534908	"hypothetical protein"
YP_001865467	186682271	NC_010628	Nostoc punctiforme PCC 73102| Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Nostoc.	Npun_R1867	complement(2294437..2295666)	"hypothetical protein"
YP_001837874	183219878	NC_010602	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'| Bacteria; Spirochaetes; Spirochaetales; Leptospiraceae; Leptospira.	LEPBI_I0459	454243..454914	"hypothetical protein"
YP_008037033	507515416	NC_021287	Burkholderia sp. RPE64| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia.	BRPE64_ACDS08830	complement(933379..935157)	"TPR repeat-containing protein"
YP_001831894	182677748	NC_010581	Beijerinckia indica subsp. indica ATCC 9039| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Beijerinckia.	Bind_0755	complement(847231..849219)	"hypothetical protein"
