YP_005854714	385818324	NC_017470	Lactobacillus amylovorus GRL1118| Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus.	LAB52_09005	complement(1752148..1752927)	"chromosome partitioning protein para"
YP_008700983	554381284	NC_022592	Clostridium autoethanogenum DSM 10061| Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium.	CAETHG_3524	complement(3779354..3780244)	"Cobyrinic acid ac-diamide synthase"
YP_001203169	146338121	NC_009445	Bradyrhizobium sp. ORS 278| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium.	BRADO1017	complement(1087996..1089264)	"pilus assembly protein CpaE"
YP_971022	120611344	NC_008752	Acidovorax citrulli AAC00-1| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax.	Aave_2676	2943289..2944173	"cobyrinic acid a,c-diamide synthase"
YP_005447410	383768347	NC_017082	Bradyrhizobium sp. S23321| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium.	S23_00700	80062..80799	"putative ParA family partition protein"
YP_005328955	379735449	NC_016943	Blastococcus saxobsidens DD2| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Frankineae; Geodermatophilaceae; Blastococcus.	BLASA_2010	1922455..1923645	"Pilus assembly protein ATPase"
YP_006558222	399544914	NC_018268	Marinobacter sp. BSs20148| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter.	MRBBS_1872	1991008..1992330	"hypothetical protein"
YP_001413723	154252899	NC_009719	Parvibaculum lavamentivorans DS-1| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhodobiaceae; Parvibaculum.	Plav_2457	complement(2659603..2660751)	"hypothetical protein"
YP_007406584	448242531	NC_020211	Serratia marcescens WW4| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Serratia.	SMWW4_v1c27700	3004243..3005055	"membrane ATPase of the MinC-MinD-MinE system"
YP_008578760	545625526	NC_022436	Desulfovibrio gigas DSM 1382 = ATCC 19364| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio.	DGI_4025	complement(27572..28318)	"Cobyrinic acid ac-diamide synthase"
YP_001109472	134103811	NC_009142	Saccharopolyspora erythraea NRRL 2338| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Pseudonocardineae; Pseudonocardiaceae; Saccharopolyspora.	SACE_7391	complement(8207580..8208479)	"chromosome partitioning protein"
