NP_109557	13488550	NC_002682	Mesorhizobium loti MAFF303099| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium.	mlr9719	176852..177193	"UDP-glucose dehydrogenase-like protein"
YP_002430863	218779545	NC_011768	Desulfatibacillum alkenivorans AK-01| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae; Desulfatibacillum.	Dalk_1698	complement(2225014..2226687)	"nucleotide sugar dehydrogenase"
YP_006620281	402570938	NC_018515	Desulfosporosinus meridiei DSM 13257| Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfosporosinus.	Desmer_0349	330156..331214	"UDP-N-acetyl-D-mannosaminuronate dehydrogenase"
YP_002816632	227816623	NC_012581	Bacillus anthracis str. CDC 684| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	BAMEG_4101	complement(3739499..3739699)	"putative polysaccharide biosynthesis protein"
YP_007542499	476412581	NC_020514	Glaciecola psychrophila 170| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Glaciecola.	C427_1042	968886..969029	"UDP-glucose 6-dehydrogenase"
YP_007785167	479155392	NC_021014	Ruminococcus sp. SR1/5| Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus.	CK1_38140	complement(3359395..3359751)	"Predicted UDP-glucose 6-dehydrogenase"
YP_005512673	384130061	NC_017162	Acinetobacter baumannii 1656-2| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex.	ABK1_0101	106984..108246	"Udg"
YP_006449195	392412588	NC_018025	Desulfomonile tiedjei DSM 6799| Bacteria; Proteobacteria; Deltaproteobacteria; Syntrophobacterales; Syntrophaceae; Desulfomonile.	Desti_4297	4989369..4991090	"nucleotide sugar dehydrogenase"
YP_004760845	340795382	NC_015859	Corynebacterium variabile DSM 44702| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	CVAR_2427	2733521..2733901	"UDP-glucose 6-dehydrogenase"
YP_008211434	523525403	NC_021729	Acinetobacter baumannii BJAB0868| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex.	BJAB0868_00107	113810..115072	"putative UDP-glucose 6-dehydrogenase"
YP_001083160	126640176	NC_009085	Acinetobacter baumannii ATCC 17978| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex.	A1S_0063	74761..75438	"UDP-glucose 6-dehydrogenase"
