YP_006468472	392427478	NC_018068	Desulfosporosinus acidiphilus SJ4| Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfosporosinus.	Desaci_4289	complement(4431933..4432256)	"mannose-1-phosphate guanylyltransferase"
YP_006875392	408675644	NC_018748	Emticicia oligotrophica DSM 17448| Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Emticicia.	Emtol_4241	4716129..4716638	"mannose-6-phosphate isomerase type II"
YP_007542494	476412576	NC_020514	Glaciecola psychrophila 170| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Glaciecola.	C427_1037	965333..965491	"mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase"
YP_004797193	344212873	NC_015948	Haloarcula hispanica ATCC 33960| Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Haloarcula.	HAH_2619	2537231..2537533	"tetracenomycin polyketide synthesis protein"
YP_007457553	451821352	NC_020291	Clostridium saccharoperbutylacetonicum N1-4(HMT)| Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium.	Cspa_c45460	complement(4958951..4959298)	"mannose-6-phosphate isomerase"
YP_004656532	338212477	NC_015703	Runella slithyformis DSM 19594| Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Runella.	Runsl_3015	3513750..3514256	"mannose-6-phosphate isomerase"
YP_631697	108762405	NC_008095	Myxococcus xanthus DK 1622| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus.	MXAN_3503	4083298..4083660	"cupin"
YP_003902008	307595691	NC_014537	Vulcanisaeta distributa DSM 14429| Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Vulcanisaeta.	Vdis_1575	1491140..1491514	"cupin"
YP_003093739	255533367	NC_013061	Pedobacter heparinus DSM 2366| Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales; Sphingobacteriaceae; Pedobacter.	Phep_3485	complement(4146219..4146716)	"hypothetical protein"
YP_001493816	157826096	NC_009881	Rickettsia akari str. Hartford| Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Rickettsiaceae; Rickettsieae; Rickettsia; spotted fever group.	A1C_05290	942402..942605	"hypothetical protein"
YP_005847934	385811538	NC_017464	Ignavibacterium album JCM 16511| Bacteria; Ignavibacteriae; Ignavibacteria; Ignavibacteriales; Ignavibacteriaceae; Ignavibacterium.	IALB_2963	3370120..3370995	"dTDP-glucose pyrophosphorylase"
YP_003953637	310821279	NC_014623	Stigmatella aurantiaca DW4/3-1| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Cystobacteraceae; Stigmatella.	STAUR_4024	4878704..4879066	"cupin domain-containing protein"
YP_003466103	290473238	NC_013892	Xenorhabdus bovienii SS-2004| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Xenorhabdus.	XBJ1_0152	150812..151540	"hypothetical protein"
YP_521518	89899047	NC_007908	Albidiferax ferrireducens T118| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Rhodoferax.	Rfer_0230	complement(229420..230013)	"transcriptional regulator"
YP_008622727	549690995	NC_022528	Vibrio nigripulchritudo| Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	VIBNI_A3645	complement(3846355..3847239)	"Glucose-1-phosphate thymidylyltransferase"
