YP_006867372	408491003	NC_018721	Psychroflexus torquis ATCC 700755| Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Psychroflexus.	P700755_001781	complement(1899271..1900521)	"esterase_lipase superfamily protein"
YP_001324024	150400257	NC_009634	Methanococcus vannielii SB| Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus.	Mevan_1518	1535981..1537108	"hypothetical protein"
YP_003684361	297565389	NC_014212	Meiothermus silvanus DSM 9946| Bacteria; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Meiothermus.	Mesil_0942	929185..930174	"cytochrome c class I"
YP_721873	113475812	NC_008312	Trichodesmium erythraeum IMS101| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Trichodesmium.	Tery_2167	complement(3382538..3385582)	"hypothetical protein"
YP_008154806	521467404	NC_021658	Sorangium cellulosum So0157-2| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Sorangiineae; Polyangiaceae; Sorangium.	SCE1572_42235	complement(11900240..11904052)	"hypothetical protein"
YP_004776671	343087376	NC_015914	Cyclobacterium marinum DSM 745| Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cyclobacteriaceae; Cyclobacterium.	Cycma_4755	complement(5787580..5788458)	"hypothetical protein"
YP_008195550	522667088	NC_021717	Alteromonas macleodii str. 'Ionian Sea U7'| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas.	I876_05690	1303618..1305441	"hypothetical protein"
YP_004931271	357418251	NC_016147	Pseudoxanthomonas spadix BD-a59| Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Pseudoxanthomonas.	DSC_12930	complement(2610365..2612035)	"hypothetical protein"
YP_005071633	479131673	NC_016640	Arthrospira platensis NIES-39| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Arthrospira.	NIES39_M02580	complement(5375141..5377420)	"serine/threonine protein kinase containing TPR domain"
YP_328509	76789423			
YP_001747717	170720029	NC_010501	Pseudomonas putida W619| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	PputW619_0843	complement(933179..933880)	"hypothetical protein"
YP_008316014	525958257	NC_021848	Vibrio parahaemolyticus O1:K33 str. CDC_K4557| Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	M636_13320	complement(1052748..1053473)	"pilus assembly protein PilW"
YP_006282139	470153637	NC_017845	Pectobacterium sp. SCC3193| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Pectobacterium.	W5S_1166	1275059..1275844	"Type IV pilus biogenesis/stability protein PilW"
YP_004179653	320104062	NC_014962	Isosphaera pallida ATCC 43644| Bacteria; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Isosphaera.	Isop_2532	3673055..3676423	"hypothetical protein"
YP_006448608	392412001	NC_018025	Desulfomonile tiedjei DSM 6799| Bacteria; Proteobacteria; Deltaproteobacteria; Syntrophobacterales; Syntrophaceae; Desulfomonile.	Desti_3699	4334038..4334661	"tetratricopeptide repeat protein"
YP_003889784	307154400	NC_014501	Cyanothece sp. PCC 7822| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece.	Cyan7822_4601	5033155..5034030	"hypothetical protein"
YP_007095788	434385177	NC_019697	Chamaesiphon minutus PCC 6605| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Chamaesiphon.	Cha6605_1024	1107652..1109142	"Tfp pilus assembly protein PilF"
NP_442936	16332208	NC_000911	Synechocystis sp. PCC 6803| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechocystis.	slr0751	3419545..3420291	"hypothetical protein"
YP_001802181	172035680	NC_010546	Cyanothece sp. ATCC 51142| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece.	cce_0764	781059..781943	"hypothetical protein"
YP_001612412	162450045	NC_010162	Sorangium cellulosum So ce56| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Sorangiineae; Polyangiaceae; Sorangium.	sce1774	2410206..2410976	"hypothetical protein"
YP_006832619	407712054	NC_018695	Burkholderia phenoliruptrix BR3459a| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia.	BUPH_04201	complement(317267..319093)	"hypothetical protein"
YP_004462028	332800529	NC_015519	Tepidanaerobacter acetatoxydans Re1| Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Tepidanaerobacter.	TepRe1_2623	complement(2743175..2743702)	"hypothetical protein"
YP_007090614	428206261	NC_019695	Chroococcidiopsis thermalis PCC 7203| Bacteria; Cyanobacteria; Pleurocapsales; Chroococcidiopsis.	Chro_1219	1357228..1358628	"Microtubule-severing ATPase"
YP_006773326	407462009	NC_018655	Candidatus Nitrosopumilus koreensis AR1| Archaea; Thaumarchaeota; Nitrosopumilales; Nitrosopumilaceae; Nitrosopumilus.	NKOR_02430	426354..426713	"hypothetical protein"
YP_004385548	330509120	NC_015416	Methanosaeta concilii GP6| Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosaetaceae; Methanosaeta.	MCON_3511	2971720..2972982	"TPR-repeat-containing protein"
YP_003137086	257059198	NC_013161	Cyanothece sp. PCC 8802| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece.	Cyan8802_1328	complement(1348789..1351221)	"peptidase S1 and S6 chymotrypsin/Hap"
YP_007089564	428205211	NC_019695	Chroococcidiopsis thermalis PCC 7203| Bacteria; Cyanobacteria; Pleurocapsales; Chroococcidiopsis.	Chro_0139	complement(171909..172805)	"hypothetical protein"
YP_474418	86605655	NC_007775	Synechococcus sp. JA-3-3Ab| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechococcus.	CYA_0953	966736..967527	"hypothetical protein"
YP_007167646	428775859	NC_019779	Halothece sp. PCC 7418| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Halothece cluster; Halothece.	PCC7418_1230	1341919..1343946	"hypothetical protein"
YP_005920257	386001958	NC_017527	Methanosaeta harundinacea 6Ac| Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosaetaceae; Methanosaeta.	Mhar_1270	1364314..1365099	"hypothetical protein"
NP_790941	28868322	NC_004578	Pseudomonas syringae pv. tomato str. DC3000| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	PSPTO_1107	complement(1221082..1222809)	"TPR domain-containing protein"
YP_003705023	297623589	NC_014221	Truepera radiovictrix DSM 17093| Bacteria; Deinococcus-Thermus; Deinococci; Deinococcales; Trueperaceae; Truepera.	Trad_1358	complement(1457598..1458431)	"hypothetical protein"
YP_733363	113969570	NC_008321	Shewanella sp. MR-4| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella.	Shewmr4_1226	1425905..1426693	"type IV pilus biogenesis/stability protein PilW"
YP_004568992	336114225	NC_015634	Bacillus coagulans 2-6| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	BCO26_1547	complement(1600922..1602187)	"hypothetical protein"
YP_007159579	440684784	NC_019771	Anabaena cylindrica PCC 7122| Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Anabaena.	Anacy_5347	complement(6063923..6064732)	"Tetratricopeptide TPR_1 repeat-containing protein"
YP_004863343	347755779	NC_016024	Candidatus Chloracidobacterium thermophilum B| Bacteria; Acidobacteria; Candidatus Chloracidobacterium.	Cabther_A2084	complement(2469243..2471132)	"hypothetical protein"
YP_007046801	427703579	NC_019675	Cyanobium gracile PCC 6307| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanobium.	Cyagr_2353	2280202..2281116	"hypothetical protein"
YP_004351297	330806835	NC_015379	Pseudomonas brassicacearum subsp. brassicacearum NFM421| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	PSEBR_a160	190640..193120	"biofilm PNAG synthesis protein"
YP_004868168	347760607	NC_016027	Gluconacetobacter medellinensis NBRC 3288| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Komagataeibacter.	GLX_13860	complement(1586062..1588017)	"hypothetical protein"
YP_008589377	545640626	NC_022444	Desulfovibrio gigas DSM 1382 = ATCC 19364| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio.	DGI_0277	complement(304147..306006)	"hypothetical protein"
YP_004975811	374999723	NC_016588	Azospirillum lipoferum 4B| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum.	AZOLI_p60261	complement(281729..283867)	"hypothetical protein"
YP_007108312	428224215	NC_019703	Geitlerinema sp. PCC 7407| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Geitlerinema.	GEI7407_0762	complement(923501..926008)	"hypothetical protein"
YP_006292858	387129968	NC_017856	Methylophaga frappieri| Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Piscirickettsiaceae; Methylophaga.	Q7C_1009	complement(1045124..1045771)	"tfp pilus assembly protein PilF"
YP_463864	86157079	NC_007760	Anaeromyxobacter dehalogenans 2CP-C| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Anaeromyxobacter.	Adeh_0651	749502..752138	"hypothetical protein"
YP_007169620	428777833	NC_019779	Halothece sp. PCC 7418| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Halothece cluster; Halothece.	PCC7418_3291	complement(3538215..3542489)	"family 2 glycosyl transferase"
YP_006416202	390952443	NC_018012	Thiocystis violascens DSM 198| Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Thiocystis.	Thivi_4264	complement(4630976..4634704)	"putative PEP-CTERM system TPR-repeat lipoprotein"
YP_005687133	385777968	NC_017304	Ruminiclostridium thermocellum DSM 1313| Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminiclostridium.	Clo1313_0600	complement(660301..662076)	"hypothetical protein"
YP_586191	94312982	NC_007974	Cupriavidus metallidurans CH34| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Cupriavidus.	Rmet_4054	complement(620454..621488)	"cytochrome C biogenesis protein"
YP_005475976	383791402	NC_017098	Spirochaeta africana DSM 8902| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Spirochaeta.	Spiaf_2233	2524379..2525500	"putative transcriptional regulator"
YP_003690216	297568872	NC_014216	Desulfurivibrio alkaliphilus AHT2| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobulbaceae; Desulfurivibrio.	DaAHT2_0893	1065775..1066503	"TPR repeat-containing protein"
YP_002430975	218779657	NC_011768	Desulfatibacillum alkenivorans AK-01| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae; Desulfatibacillum.	Dalk_1810	complement(2371902..2373437)	"hypothetical protein"
YP_006344593	389842509	NC_017933	Cronobacter sakazakii ES15| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Cronobacter.	ES15_3509	complement(3801291..3802175)	"lipoprotein NlpI"
YP_006716553	404492447	NC_007498	Pelobacter carbinolicus DSM 2380| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Pelobacteraceae; Pelobacter.	Pcar_0844	complement(997285..999519)	"hypothetical protein"
YP_004850526	346723857	NC_016010	Xanthomonas axonopodis pv. citrumelo F1| Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xanthomonas.	XACM_0925	1048485..1050173	"TPR-repeat-containing protein NrfG"
NP_949839	39937563	NC_005296	Rhodopseudomonas palustris CGA009| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Rhodopseudomonas.	RPA4505	complement(5083938..5084684)	"TPR repeat-containing protein"
YP_004657842	338213787	NC_015703	Runella slithyformis DSM 19594| Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Runella.	Runsl_4381	complement(5075701..5077824)	"hypothetical protein"
YP_008148560	521461766	NC_021658	Sorangium cellulosum So0157-2| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Sorangiineae; Polyangiaceae; Sorangium.	SCE1572_10570	2931778..2932620	"hypothetical protein"
YP_007205337	430746208	NC_019892	Singulisphaera acidiphila DSM 18658| Bacteria; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Singulisphaera.	Sinac_5500	complement(6880882..6883251)	"hypothetical protein"
YP_004696570	339484784	NC_015731	Nitrosomonas sp. Is79A3| Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosomonas.	Nit79A3_3448	3655227..3656963	"hypothetical protein"
YP_001633888	163845844	NC_010175	Chloroflexus aurantiacus J-10-fl| Bacteria; Chloroflexi; Chloroflexia; Chloroflexales; Chloroflexineae; Chloroflexaceae; Chloroflexus.	Caur_0246	313069..314322	"hypothetical protein"
NP_841639	30249569	NC_004757	Nitrosomonas europaea ATCC 19718| Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosomonas.	NE1600	complement(1725475..1727184)	"hypothetical protein"
YP_004275398	325105744	NC_015177	Pedobacter saltans DSM 12145| Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales; Sphingobacteriaceae; Pedobacter.	Pedsa_3037	complement(3590355..3591761)	"hypothetical protein"
YP_002357302	217972551	NC_011663	Shewanella baltica OS223| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella.	Sbal223_1371	1600670..1601458	"type IV pilus biogenesis/stability protein PilW"
YP_001975707	190571349	NC_010981	Wolbachia endosymbiont of Culex quinquefasciatus Pel| Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Anaplasmataceae; Wolbachieae; Wolbachia.	WPa_0954	complement(1023080..1023946)	"TPR domain-containing protein"
YP_004633540	337741812	NC_015684	Oligotropha carboxidovorans OM5| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Oligotropha.	OCA5_c26040	complement(2757501..2759300)	"TPR domain-containing protein"
YP_686746	147919514	NC_009464	Methanocella arvoryzae MRE50| Archaea; Euryarchaeota; Methanomicrobia; Methanocellales; Methanocellaceae; Methanocella.	RCIX2324	820751..821377	"hypothetical protein"
YP_008142165	518652645	NC_021592	Ferroplasma acidarmanus fer1| Archaea; Euryarchaeota; Thermoplasmata; Thermoplasmatales; Ferroplasmaceae; Ferroplasma.	FACI_IFERC00001G1284	1248406..1249092	"hypothetical protein"
YP_008992010	568335731	NC_006350	Burkholderia pseudomallei K96243| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	BPSL2533	3052433..3054313	"hypothetical protein"
YP_005386518	383325665	NC_017039	Synechocystis sp. PCC 6803 substr. PCC-P| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechocystis.	SYNPCCP_1586	complement(1738158..1739048)	"hypothetical protein"
YP_001898637	187928150	NC_010682	Ralstonia pickettii 12J| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia.	Rpic_1057	1123117..1123914	"type IV pilus biogenesis/stability protein PilW"
YP_008899116	571026998	NC_023033	Thermosynechococcus sp. NK55a| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Thermosynechococcus.	NK55_01120	231404..232351	"TPR repeat domain protein with DnaJ domain"
