YP_002881757	229820231	NC_012669	Beutenbergia cavernae DSM 12333| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Beutenbergiaceae; Beutenbergia.	Bcav_1739	1989893..1990897	"DNA polymerase III subunit delta"
YP_005040781	374293758	NC_016623	Azospirillum lipoferum 4B| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum.	AZOLI_p30263	complement(261357..261953)	"transposase of ISAli3, IS30 family, ORFA"
YP_003256255	261868333	NC_013416	Aggregatibacter actinomycetemcomitans D11S-1| Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Aggregatibacter.	D11S_1673	complement(1600990..1601811)	"putative glucanotransferase"
YP_001624966	163840561	NC_010168	Renibacterium salmoninarum ATCC 33209| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Micrococcaceae; Renibacterium.	RSal33209_1819	complement(1579816..1580712)	"dihydrodipicolinate synthase"
YP_001703446	169629797	NC_010397	Mycobacterium abscessus| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium.	MAB_2713	2761643..2762374	"hypothetical protein"
NP_972215	42527117	NC_002967	Treponema denticola ATCC 35405| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	TDE1609	1658466..1659287	"hypothetical protein"
YP_469364	86357472	NC_007761	Rhizobium etli CFN 42| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium.	RHE_CH01845	complement(1932925..1933554)	"hypothetical protein"
YP_003458392	289192451	NC_013887	Methanocaldococcus sp. FS406-22| Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus.	MFS40622_0976	970152..971159	"cysteinyl-tRNA synthetase"
YP_005669881	384457461	NC_017295	Clostridium acetobutylicum EA 2018| Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium.	CEA_G0747	complement(853676..854506)	"putative glucanotransferase"
YP_005041165	374294140	NC_016624	Azospirillum lipoferum 4B| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum.	AZOLI_p50085	complement(73907..74503)	"putative transposase of ISAli3, IS630 family. ORFA"
YP_008023124	507421600	NC_021282	Mycobacterium abscessus subsp. bolletii 50594| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium abscessus.	MASS_2658	2709875..2710615	"TVP38/TMEM64 family membrane protein"
